,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,cotton_area,Corn_area,SORGHUM_ACRES,precipitation_cm,Latitude,Longitude,Application Factor,Lime-cotton-tonnes,Lime-corn-tonnes,Lime-sorghum-tonnes,E-cotton-CO2,E-corn-CO2,E-sorghum-CO2,Urea_tonne_cotton,E-cotton-urea-CO2,Urea_tonne_corn,E-corn-urea-CO2,Urea_tonne_sorghum,E-sorghum-urea-CO2,E-N2O-cotton,E-N2O-corn,E-N2O-sorghum,Tillage,E-N20-T,E-CO2-T
0,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,9261.0,645.0,0.0,148.0,32.5165255,-86.6319403,0.45,1686.5086706999998,117.4601115,0.0,668.4645767186519,46.55648979414,0.0,1011.9058699743025,742.738908561138,43.885025999999996,32.211609083999996,0.0,0.0,9864.249464796081,46.046683781477235,0.0,CT,13.315302806499263,149.24844903988185
1,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,14133.0,13876.0,0.0,148.0,32.3117968,-87.1046643,0.45,2573.7422571,2526.9403211999997,0.0,1020.128481024156,1001.5780657108319,0.0,1544.2463729993322,1133.4768377815099,944.1063888,692.9740893792,0.0,0.0,22972.962118873427,21311.180695607418,0.0,CT,37.64872968980798,421.99675036927624
2,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,13795.0,2487.0,0.0,148.0,32.5801231,-86.125195,0.45,2512.1895165,452.90433690000003,0.0,995.73143675994,179.51316297368402,0.0,1507.3147042755104,1106.3689929382247,169.21249559999998,124.2019717704,0.0,0.0,21887.274676394194,684.5899190625462,0.0,CT,21.885701624815365,245.31225997045792
3,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,4046.0,1630.0,0.0,148.0,32.1088066,-86.6402541,0.45,736.8118002,296.837181,0.0,292.042725127272,117.65438506116,0.0,442.08737176503917,324.49213087553875,110.903244,81.402981096,0.0,0.0,1882.7819902412257,294.0723132960925,0.0,CT,7.629483013293944,85.51728212703102
4,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,12376.0,0.0,0.0,148.0,32.366606,-85.6660307,0.45,2253.7772712,0.0,0.0,893.3071592128321,0.0,0.0,1352.267254810708,992.5641650310598,0.0,0.0,0.0,0.0,17616.064019419635,0.0,0.0,CT,16.635391432791728,186.46262924667653
5,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,3656.0,1800.0,0.0,148.0,32.201002,-87.7569365,0.45,665.7894072,327.79566,0.0,263.89228943779204,129.92508779759999,0.0,399.47390785293703,293.2138483640558,122.46983999999999,89.89286256,0.0,0.0,1537.3071697422874,358.611274447416,0.0,CT,7.333766617429838,82.20265878877402
6,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,4701.0,1051.0,0.0,148.0,32.3669656,-86.3006485,0.45,856.0929987000001,191.39624369999999,0.0,339.32102096473204,75.86181515293198,0.0,513.6561380789543,377.0236053499525,71.5087788,52.4874436392,0.0,0.0,2541.72628941169,122.25999147095378,0.0,CT,7.731639586410636,86.66233382570164
7,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,2655.0,6683.0,0.0,148.0,32.6421387,-87.2876639,0.45,483.4985985,1217.0324421,0.0,191.63950450145998,482.3829787507561,0.0,290.0993504785415,212.9329232512495,454.7033004,333.7522224936,0.0,0.0,810.7320265024484,4943.355586507315,0.0,CT,12.55181683899557,140.690694239291
8,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,0.0,552.0,0.0,148.0,32.5234698,-88.1837986,0.45,0.0,100.5240024,0.0,0.0,39.843693591264,0.0,0.0,0.0,37.5574176,27.567144518400003,0.0,0.0,0.0,33.725398076921444,0.0,CT,0.7419793205317579,8.316691285081241
9,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,12243.0,6658.0,0.0,148.0,30.5677527,-87.7324392,0.45,2229.5568141,1212.4797245999998,0.0,883.7071388366759,480.5784636424559,0.0,1337.7349709637604,981.8974686874002,453.00233039999995,332.50371051359997,0.0,0.0,17239.472680313633,4906.4402083251925,0.0,CT,25.406070901033974,284.7713441654358
10,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,0.0,0.0,0.0,148.0,31.9908095,-88.2821326,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CT,0.0,0.0
11,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,0.0,85.0,0.0,148.0,31.659134,-87.8192486,0.45,0.0,15.4792395,0.0,0.0,6.13535136822,0.0,0.0,0.0,5.783297999999999,4.244940732,0.0,0.0,0.0,0.7996810055193152,0.0,CT,0.11425406203840474,1.2806499261447564
12,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,11328.0,1367.0,0.0,148.0,31.3966783,-86.9437104,0.45,2062.9273536,248.9425929,0.0,817.6618858728959,98.67088612184399,0.0,1237.7572287084438,908.5138058719978,93.0090396,68.2686350664,0.0,0.0,14758.926135795684,206.83115550489737,0.0,CT,17.064180206794685,191.2688330871492
13,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,19612.0,2614.0,0.0,148.0,31.1168422,-87.1070947,0.45,3571.5158244,476.0321418,0.0,1415.6060121591838,188.68009972384797,0.0,2142.910908318326,1572.8966067056515,177.85342319999998,130.5444126288,0.0,0.0,44237.649943340984,756.2930258808939,0.0,CT,29.87542097488922,334.8673559822748
14,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,7962.0,0.0,0.0,148.0,30.6867339,-88.0848929,0.45,1449.9494694,0.0,0.0,574.701971691384,0.0,0.0,869.9702555593777,638.5581675805834,0.0,0.0,0.0,0.0,7291.092785326976,0.0,0.0,CT,10.702245199409159,119.9592319054653
